English,German Singular,German Plural,Differences
607. Bear,Der Bär,Die Bären,en
608. Test,Der Test,Die Tests,s
609. Visit,Der Besuch,Die Besuche,e
610. Milk,Die Milch,-,"-, "
611. Boss,Der Chef,Die Chefs,s
612. Elbow,Der Ellenbogen,Die Ellenbogen,
613. Desire,Das Verlangen,-,"-, "
614. Patient,Der Patient,Die Patienten,en
615. Grin,Das Grinsen,-,"-, "
616. Lover,Der Liebhaber,Die Liebhaber,
617. Price,Der Preis,Die Preise,e
618. Map,Die Karte,Die Karten,n
619. Knowledge,Das Wissen,-,"-, "
620. Beginning,Der Anfang,Die Anfänge,":, e"
621. Cold,Die Kälte,-,"-, "
622. Closet,Der Schrank,Die Schränke,":, e"
623. Dawn,Die Morgendämmerung,Die Morgendämmerungen,en
624. Temple,Der Tempel,Die Tempel,
625. Joy,Die Freude,-,"-, "
626. Duty,Die Pflicht,Die Pflichten,en
627. Practice,Die Übung,Die Übungen,en
628. Heel,Der Absatz,Die Absätze,":, e"
629. Valley,Das Tal,Die Täler,":, er"
630. Fight,Der Kampf,Die Kämpfe,":, e"
631. Wire,Das Kabel,Die Kabel,
632. Jeans,Die Jeans,-,"-, "
633. Kiss,Der Kuss,Die Küsse,":, e"
634. Jaw,Der Kiefer,Die Kiefer,
635. Run,Der Lauf,Die Läufe,":, e"
636. Hold,Das Halten,Die Halten,
637. Relationship,Die Beziehung,Die Beziehungen,en
638. Object,Das Objekt,Die Objekte,e
639. Attack,Der Angriff,Die Angriffe,e
640. Dish,Das Gericht,Die Gerichte,e
641. Highway,Die Autobahn,Die Autobahnen,en
642. Shade,Der Schatten,Die Schatten,
643. Crime,Das Verbrechen,Die Verbrechen,
644. White,Das Weiß,-,"-, "
645. Partner,Der Partner,Die Partner,
646. Priest,Der Priester,Die Priester,
647. Lawn,Der Rasen,Die Rasen,
648. Laugh,Das Lachen,-,"-, "
649. Trunk,Der Stamm,Die Stämme,":, e"
650. Cry,Das Weinen,Die Weinen,
651. Program,Das Programm,Die Programme,e
652. Ride,Die Fahrt,Die Fahrten,en
653. Shelf,Das Regal,Die Regale,e
654. Gentleman,Der Herr,Die Herren,en
655. Being,Das Wesen,Die Wesen,
656. Steel,Der Stahl,-,"-, "
657. Sidewalk,Der Bürgersteig,Die Bürgersteige,e
658. Uniform,Die Uniform,Die Uniformen,en
659. Pattern,Das Muster,Die Muster,
660. Evidence,Der Beweis,Die Beweise,e
661. Player,Der Spieler,Die Spieler,
662. Novel,Der Roman,Die Romane,e
663. Pillow,Das Kissen,Die Kissen,
664. Lamp,Die Lampe,Die Lampen,n
665. Drawer,Die Schublade,Die Schubladen,n
666. Danger,Die Gefahr,Die Gefahren,en
667. Detective,Der Detektiv,Die Detektive,e
668. Instant,Der Augenblick,Die Augenblicke,e
669. Thinking,Das Denken,-,"-, "
670. Crack,Der Riss,Die Risse,e
671. Prayer,Das Gebet,Die Gebete,e
672. Towel,Das Handtuch,Die Handtücher,":, er"
673. Glove,Der Handschuh,Die Handschuhe,e
674. Bay,Die Bucht,Die Buchten,en
675. Audience,Das Publikum,-,"-, "
676. Can,Die Dose,Die Dosen,n
677. Condition,Der Zustand,Die Zustände,":, e"
678. Trail,Der Pfad,Die Pfade,e
679. Waist,Die Taille,Die Taillen,n
680. Pressure,Der Druck,Die Drücke,":, e"
681. Telephone,Das Telefon,Die Telefone,e
682. Sink,Das Waschbecken,Die Waschbecken,
683. Return,Die Rückkehr,Die Rückkehr,
684. Breeze,Die Brise,Die Brisen,n
685. Taste,Der Geschmack,Die Geschmäcker,":, er"
686. Fault,Der Fehler,Die Fehler,
687. Stream,Der Strom,Die Ströme,":, e"
688. Result,Das Ergebnis,Die Ergebnisse,se
689. Author,Der Autor,Die Autoren,en
690. Tip,Der Tipp,Die Tipps,s
691. Shower,Die Dusche,Die Duschen,n
692. Toe,Die Zehe,Die Zehen,n
693. Season,Die Jahreszeit,Die Jahreszeiten,en
694. Half,Die Hälfte,Die Hälften,n
695. Fool,Der Narr,Die Narren,en
696. Tunnel,Der Tunnel,Die Tunnel,
697. Client,Der Kunde,Die Kunden,n
698. Garage,Die Garage,Die Garagen,n
699. Mission,Die Mission,Die Missionen,en
700. Chief,Der Chef,Die Chefs,s
701. Bullet,Die Kugel,Die Kugeln,n
702. Market,Der Markt,Die Märkte,":, e"
703. Loss,Der Verlust,Die Verluste,e
704. Series,Die Serie,Die Serien,n
705. Pen,Der Stift,Die Stifte,e
706. Term,Der Begriff,Die Begriffe,e
707. Poem,Das Gedicht,Die Gedichte,e
708. Prince,Der Prinz,Die Prinzen,en
709. Clay,Der Ton,Die Tone,e
710. Lock,Das Schloss,Die Schlösser,":, er"
711. Reality,Die Realität,Die Realitäten,en
712. Snake,Die Schlange,Die Schlangen,n
713. Apple,Der Apfel,Die Äpfel,":, "
714. Mask,Die Maske,Die Masken,n
715. Customer,Der Kunde,Die Kunden,n
716. Birth,Die Geburt,Die Geburten,en
717. Break,Die Pause,Die Pausen,n
718. Wonder,Das Wunder,Die Wunder,
719. Sunlight,Das Sonnenlicht,-,"-, "
720. Tank,Der Panzer,Die Panzer,
721. Staff,Das Personal,-,"-, "
722. Lie,Die Lüge,Die Lügen,n
723. Faith,Der Glaube,-,"-, "
724. Honor,Die Ehre,-,"-, "
725. Cream,Die Sahne,-,"-, "
726. Sake,Der Grund,-,"-, "
727. Victim,Das Opfer,Die Opfer,
728. Possibility,Die Möglichkeit,Die Möglichkeiten,en
729. Contact,Der Kontakt,Die Kontakte,e
730. Mood,Die Stimmung,Die Stimmungen,en
731. Thumb,Der Daumen,Die Daumen,
732. Reading,Das Lesen,-,"-, "
733. Fun,Der Spaß,-,"-, "
734. Candle,Die Kerze,Die Kerzen,n
735. Cave,Die Höhle,Die Höhlen,n
736. Post,Die Post,-,"-, "
737. Prison,Das Gefängnis,Die Gefängnisse,se
738. Emotion,Die Emotion,Die Emotionen,en
739. Leader,Der Führer,Die Führer,
740. Degree,Der Abschluss,Die Abschlüsse,":, e"
741. Feature,Das Merkmal,Die Merkmale,e
742. Ticket,Die Eintrittskarte,Die Eintrittskarten,n
743. Alien,Das Alien,Die Aliens,s
744. Lesson,Die Lektion,Die Lektionen,en
745. Desert,Die Wüste,Die Wüsten,n
746. Cut,Der Schnitt,Die Schnitte,e
747. Mess,Das Durcheinander,-,"-, "
748. Warning,Die Warnung,Die Warnungen,en
749. Tale,Das Märchen,Die Märchen,
750. Funeral,Die Beerdigung,Die Beerdigungen,en
751. Cab,Das Taxi,Die Taxis,s
752. Reporter,Der Reporter,Die Reporter,
753. Present,Das Geschenk,Die Geschenke,e
754. Theater,Das Theater,Die Theater,
755. Length,Die Länge,-,"-, "
756. Mud,Der Schlamm,-,"-, "
757. Science,Die Wissenschaft,-,"-, "
758. Drop,Der Tropfen,Die Tropfen,
759. String,Die Schnur,Die Schnüre,":, e"
760. Speech,Die Rede,Die Reden,n
761. Copy,Das Exemplar,Die Exemplare,e
762. Cow,Die Kuh,Die Kühe,":, e"
763. Worker,Der Arbeiter,Die Arbeiter,
764. Thigh,Der Oberschenkel,Die Oberschenkel,
765. Lab,Das Labor,Die Labore,e
766. Roll,Die Rolle,Die Rollen,n
767. Fruit,Die Frucht,Die Früchte,":, e"
768. Patch,Das Patch,Die Patches,es
769. Silk,Die Seide,-,"-, "
770. Buck,Der Dollar,Die Dollars,s
771. Brick,Der Ziegel,Die Ziegel,
772. Rifle,Das Gewehr,Die Gewehre,e
773. Career,Die Karriere,Die Karrieren,n
774. Issue,Die Ausgabe,Die Ausgaben,n
775. Opportunity,Die Gelegenheit,Die Gelegenheiten,en
776. Director,Der Regisseur,Die Regisseure,e
777. Monster,Das Monster,Die Monster,
778. Vehicle,Das Fahrzeug,Die Fahrzeuge,e
779. Alley,Die Gasse,Die Gassen,n
780. Sleeve,Der Ärmel,Die Ärmel,
781. Grave,Das Grab,Die Gräber,":, er"
782. Bush,Der Busch,Die Büsche,":, e"
783. Dining,Das Esszimmer,-,"-, "
784. Opening,Die Öffnung,Die Öffnungen,en
785. Twin,Das Zwilling,Die Zwillinge,e
786. Barn,Die Scheune,Die Scheunen,n
787. Pound,Das Pfund,Die Pfunde,e
788. Site,Die Seite,Die Seiten,n
789. Flash,Der Blitz,Die Blitze,e
790. Judge,Der Richter,Die Richter,
791. Mass,Die Masse,Die Massen,n
792. Process,Der Prozess,Die Prozesse,e
793. Tie,Die Krawatte,Die Krawatten,n
794. Purse,Die Geldbörse,Die Geldbörsen,n
795. Pipe,Die Pfeife,Die Pfeifen,n
796. Dragon,Der Drache,Die Drachen,n
797. Horizon,Der Horizont,Die Horizonte,e
798. Tray,Das Tablett,Die Tabletts,s
799. Envelope,Der Umschlag,Die Umschläge,":, e"
800. Check,Der Scheck,Die Schecks,s
801. Adult,Der Erwachsene,Die Erwachsenen,n
802. Emergency,Der Notfall,Die Notfälle,":, e"
803. Material,Das Material,Die Materialien,ien
804. Childhood,Die Kindheit,-,"-, "
805. Habit,Die Gewohnheit,Die Gewohnheiten,en
806. Artist,Der Künstler,Die Künstler,
807. Address,Die Adresse,Die Adressen,n
808. Scent,Der Duft,Die Düfte,":, e"
809. Universe,Das Universum,Die Universen,"e, n, "
810. Nod,Das Nicken,-,"-, "
811. Shell,Die Muschel,Die Muscheln,n
812. Community,Die Gemeinschaft,Die Gemeinschaften,en
813. Start,Der Start,Die Starts,s
814. Wound,Die Wunde,Die Wunden,n
815. Mouse,Die Maus,Die Mäuse,":, e"
816. Pilot,Der Pilot,Die Piloten,en
817. Grade,Die Note,Die Noten,n
818. Video,Das Video,Die Videos,s
819. Basket,Der Korb,Die Körbe,":, e"
820. Wagon,Der Waggon,Die Waggons,s
821. Attempt,Der Versuch,Die Versuche,e
822. Sofa,Das Sofa,Die Sofas,s
823. Cake,Der Kuchen,Die Kuchen,
824. Fellow,Der Kerl,Die Kerle,e
825. Affair,Die Angelegenheit,Die Angelegenheiten,en
826. Shore,Die Küste,Die Küsten,n
827. General,Der General,Die Generäle,":, e"
828. Root,Die Wurzel,Die Wurzeln,n
829. Robe,Der Umhang,Die Umhänge,":, e"
830. Concern,Die Sorge,Die Sorgen,n
831. Press,Die Presse,-,"-, "
832. Rat,Die Ratte,Die Ratten,n
833. Society,Die Gesellschaft,Die Gesellschaften,en
834. Style,Der Stil,Die Stile,e
835. County,Der Bezirk,Die Bezirke,e
836. Command,Der Befehl,Die Befehle,e
837. Visitor,Der Besucher,Die Besucher,
838. Model,Das Modell,Die Modelle,e
839. Chamber,Die Kammer,Die Kammern,n
840. Beast,Das Tier,Die Tiere,e
841. Bunch,Der Strauß,Die Sträuße,":, e"
842. Background,Der Hintergrund,Die Hintergründe,":, e"
843. Unit,Die Einheit,Die Einheiten,en
844. Furniture,Das Möbel,Die Möbel,
845. Nail,Der Nagel,Die Nägel,":, "
846. Scream,Der Schrei,Die Schreie,e
847. Property,Das Eigentum,-,"-, "
848. Equipment,Die Ausrüstung,-,"-, "
849. Driveway,Die Auffahrt,Die Auffahrten,en
850. Grip,Der Griff,Die Griffe,e
851. Tube,Die Röhre,Die Röhren,n
852. Ash,Die Asche,Die Aschen,n
853. Fan,Der Ventilator,Die Ventilatoren,en
854. Opinion,Die Meinung,Die Meinungen,en
855. Data,Die Daten,-,"-, "
856. Connection,Die Verbindung,Die Verbindungen,en
857. Trick,Der Trick,Die Tricks,s
858. Mystery,Das Geheimnis,Die Geheimnisse,se
859. Period,Die Periode,Die Perioden,n
860. Writing,Die Schrift,Die Schriften,en
861. Horror,Der Horror,-,"-, "
862. Candy,Die Süßigkeiten,-,"-, "
863. Bitch,Die Hündin,Die Hündinnen,nen
864. Health,Die Gesundheit,-,"-, "
865. Manager,Der Manager,Die Manager,
866. Safety,Die Sicherheit,-,"-, "
867. Height,Die Höhe,Die Höhen,n
868. Appearance,Das Aussehen,-,"-, "
869. Sigh,Der Seufzer,Die Seufzer,
870. Mine,Die Mine,Die Minen,n
871. Cloth,Der Stoff,Die Stoffe,e
872. Reaction,Die Reaktion,Die Reaktionen,en
873. Source,Die Quelle,Die Quellen,n
874. Self,Das Selbst,-,"-, "
875. Pistol,Die Pistole,Die Pistolen,n
876. Airport,Der Flughafen,Die Flughäfen,":, "
877. Hero,Der Held,Die Helden,en
878. Promise,Das Versprechen,Die Versprechen,
879. Bow,Der Bogen,Die Bögen,":, "
880. Tent,Das Zelt,Die Zelte,e
881. Booth,Der Stand,Die Stände,":, e"
882. Cash,Das Bargeld,-,"-, "
883. Avenue,Die Allee,Die Alleen,n
884. TShirt,Das T-Shirt,Die T-Shirts,s
885. Carpet,Der Teppich,Die Teppiche,e
886. Basement,Der Keller,Die Keller,
887. Girlfriend,Die Freundin,Die Freundinnen,nen
888. Beard,Der Bart,Die Bärte,":, e"
889. Brow,Die Augenbraue,Die Augenbrauen,n
890. Display,Der Bildschirm,Die Bildschirme,e
891. Signal,Das Signal,Die Signale,e
892. Servant,Der Diener,Die Diener,
893. Whisper,Das Flüstern,Die Flüster,
894. Doubt,Der Zweifel,Die Zweifel,
895. Account,Das Konto,Die Konten,"e, n"
896. Magic,Die Magie,-,"-, "
897. Hank,Der Klumpen,Die Klumpen,
898. Limb,Das Glied,Die Glieder,er
899. Bastard,Der Bastard,Die Bastarde,e
900. Skull,Der Schädel,Die Schädel,
901. Sentence,Der Satz,Die Sätze,":, e"
902. Collar,Der Kragen,Die Kragen,
903. Horn,Das Horn,Die Hörner,":, er"
904. Oak,Die Eiche,Die Eichen,n
905. Ankle,Der Knöchel,Die Knöchel,
906. Doll,Die Puppe,Die Puppen,n
907. Sandwich,Das Sandwich,Die Sandwiches,es
908. Robin,Der Rotkehlchen,Die Rotkehlchen,
909. Justice,Die Gerechtigkeit,-,"-, "
910. Pride,Der Stolz,-,"-, "
911. Youth,Die Jugend,-,"-, "
912. Secretary,Der Sekretär,Die Sekretäre,e
913. Research,Die Forschung,-,"-, "
914. Sport,Der Sport,Die Sportarten,arten
915. Task,Die Aufgabe,Die Aufgaben,n
916. Grant,Das Stipendium,Die Stipendien,"e, n, "
917. Sheriff,Der Sheriff,Die Sheriffs,s
918. Midnight,Die Mitternacht,-,"-, "
919. Chip,Der Chip,Die Chips,s
920. Theory,Die Theorie,Die Theorien,n
921. Alarm,Der Alarm,Die Alarme,e
922. Collection,Die Sammlung,Die Sammlungen,en
923. Cross,Das Kreuz,Die Kreuze,e
924. Pine,Die Kiefer,Die Kiefern,n
925. Generation,Die Generation,Die Generationen,en
926. Authority,Die Autorität,Die Autoritäten,en
927. Papa,Der Papa,Die Papas,s
928. Journey,Die Reise,Die Reisen,n
929. Pearl,Die Perle,Die Perlen,n
930. Toilet,Die Toilette,Die Toiletten,n
931. Killer,Der Mörder,Die Mörder,
932. Tool,Das Werkzeug,Die Werkzeuge,e
933. Medicine,Die Medizin,Die Medizinen,en
934. Sugar,Der Zucker,-,"-, "
935. Princess,Die Prinzessin,Die Prinzessinnen,nen
936. Argument,Das Argument,Die Argumente,e
937. Cliff,Die Klippe,Die Klippen,n
938. Cart,Der Wagen,Die Wagen,
939. Crystal,Der Kristall,Die Kristalle,e
940. Bean,Die Bohne,Die Bohnen,n
941. Cage,Der Käfig,Die Käfige,e
942. Chocolate,Die Schokolade,-,"-, "
943. Coast,Die Küste,Die Küsten,n
944. Decade,Das Jahrzehnt,Die Jahrzehnte,e
945. Meaning,Die Bedeutung,Die Bedeutungen,en
946. Gear,Das Getriebe,Die Getriebe,
947. Suitcase,Der Koffer,Die Koffer,
948. Operation,Die Operation,Die Operationen,en
949. Breathing,Das Atmen,-,"-, "
950. Role,Die Rolle,Die Rollen,n
951. Version,Die Version,Die Versionen,en
952. Prisoner,Der Gefangene,Die Gefangenen,n
953. Match,Das Spiel,Die Spiele,e
954. Beam,Der Strahl,Die Strahlen,en
955. Castle,Das Schloss,Die Schlösser,":, er"
956. Rush,Der Rausch,Die Räusche,":, e"
957. Lane,Die Fahrspur,Die Fahrspuren,en
958. Clothing,Die Kleidung,-,"-, "
959. Pole,Der Pfahl,Die Pfähle,":, e"
960. Freedom,Die Freiheit,-,"-, "
961. Skill,Die Fähigkeit,Die Fähigkeiten,en
962. Passion,Die Leidenschaft,Die Leidenschaften,en
963. Activity,Die Aktivität,Die Aktivitäten,en
964. Fuck,Der Fick,Die Ficks,s
965. Platform,Die Plattform,Die Plattformen,en
966. Salt,Das Salz,-,"-, "
967. Bike,Das Fahrrad,Die Fahrräder,":, er"
968. Stack,Der Stapel,Die Stapel,
969. Companion,Der Begleiter,Die Begleiter,
970. Fate,Das Schicksal,-,"-, "
971. Rage,Die Wut,Die Wut,
972. Supply,Die Versorgung,Die Versorgungen,en
973. Whale,Der Wal,Die Wale,e
974. Pig,Das Schwein,Die Schweine,e
975. Rabbit,Das Kaninchen,Die Kaninchen,
976. Aisle,Der Gang,Die Gänge,":, e"
977. Monitor,Der Monitor,Die Monitore,e
978. Helmet,Der Helm,Die Helme,e
979. Respect,Der Respekt,-,"-, "
980. Excitement,Die Aufregung,-,"-, "
981. Lobby,Die Lobby,Die Lobbys,s
982. Boyfriend,Der Freund,Die Freunde,e
983. Fur,Der Pelz,Die Felle,"F, l, e"
984. Range,Die Bandbreite,Die Bandbreiten,n
985. Dick,Der Schwanz,Die Schwänze,":, e"
986. Code,Der Code,Die Codes,s
987. Chapter,Das Kapitel,Die Kapitel,
988. Reflection,Die Reflexion,Die Reflexionen,en
989. Mail,Die Post,Die Mails,"M, a, i, l, s"
990. Fly,Die Fliege,Die Fliegen,n
991. Cabinet,Der Schrank,Die Schränke,":, e"
992. Toy,Das Spielzeug,Die Spielzeuge,e
993. Baseball,Der Baseball,Die Baseballs,s
994. Inside,Das Innere,-,"-, "
995. Pace,Das Tempo,-,"-, "
996. Handle,Der Griff,Die Griffe,e
997. Lead,Das Blei,-,"-, "
998. Amount,Die Menge,Die Mengen,n
999. Nerve,Der Nerv,Die Nerven,en
1000. Terror,Der Terror,-,"-, "
1001. Sweater,Der Pullover,Die Pullover,
1002. Quality,Die Qualität,Die Qualitäten,en
1003. Hunter,Der Jäger,Die Jäger,
1004. Paint,Die Farbe,Die Farben,n
1005. Buster,Der Zerstörer,Die Zerstörer,
1006. Cotton,Die Baumwolle,-,"-, "
1007. Sergeant,Der Feldwebel,Die Feldwebel,
1008. Credit,Der Kredit,Die Kredite,e
1009. Blow,Der Schlag,Die Schläge,":, e"
1010. Devil,Der Teufel,Die Teufel,
1011. Threat,Die Bedrohung,Die Bedrohungen,en
1012. Success,Der Erfolg,Die Erfolge,e
1013. Eve,Der Abend,Die Abende,e
1014. Cable,Das Kabel,Die Kabel,
1015. Pan,Die Pfanne,Die Pfannen,n
1016. Clerk,Der Angestellte,Die Angestellten,n
1017. Title,Der Titel,Die Titel,
1018. Meter,Der Meter,Die Meter,
1019. Shame,Die Schande,-,"-, "
1020. Needle,Die Nadel,Die Nadeln,n
1021. Lung,Die Lunge,Die Lungen,n
1022. Warrior,Der Krieger,Die Krieger,
1023. Circumstance,Die Umstände,-,"-, "
1024. Studio,Das Studio,Die Studios,s
1025. Panic,Die Panik,-,"-, "
1026. Lack,Der Mangel,-,"-, "
1027. Farmer,Der Bauer,Die Bauern,n
1028. Accent,Der Akzent,Die Akzente,e
1029. Bomb,Die Bombe,Die Bomben,n
1030. Panel,Das Panel,Die Panels,s
1031. Ability,Die Fähigkeit,Die Fähigkeiten,en
1032. Fortune,Das Glück,-,"-, "
1033. Victor,Der Sieger,Die Sieger,
1034. Feather,Die Feder,Die Federn,n
1035. Grandma,Die Oma,Die Omas,s
1036. Glow,Das Leuchten,Die Leuchten,
1037. Behavior,Das Verhalten,-,"-, "
1038. Passage,Der Durchgang,Die Durchgänge,":, e"
1039. Slave,Der Sklave,Die Sklaven,n
1040. Lieutenant,Der Leutnant,Die Leutnants,s
1041. Barrel,Das Fass,Die Fässer,":, er"
1042. Warmth,Die Wärme,-,"-, "
1043. Impression,Der Eindruck,Die Eindrücke,":, e"
1044. Mason,Der Maurer,Die Maurer,
1045. Bride,Die Braut,Die Bräute,":, e"
1046. Package,Das Paket,Die Pakete,e
1047. Fog,Der Nebel,-,"-, "
1048. Walking,Das Gehen,-,"-, "
1049. Balance,Das Gleichgewicht,-,"-, "
1050. Sock,Die Socke,Die Socken,n
1051. Robot,Der Roboter,Die Roboter,
1052. Potato,Die Kartoffel,Die Kartoffeln,n
1053. Item,Der Gegenstand,Die Gegenstände,":, e"
1054. Bath,Das Bad,Die Bäder,":, er"
1055. Diamond,Der Diamant,Die Diamanten,en
1056. Corpse,Die Leiche,Die Leichen,n
1057. Explanation,Die Erklärung,Die Erklärungen,en
1058. Structure,Die Struktur,Die Strukturen,en
1059. Exit,Der Ausgang,Die Ausgänge,":, e"
1060. Pad,Das Kissen,Die Kissen,
1061. Stove,Der Herd,Die Herde,e
1062. Blue,Das Blau,-,"-, "
1063. American,Der Amerikaner,Die Amerikaner,
1064. Ruby,Der Rubin,Die Rubine,e
1065. Lightning,Das Blitz,Die Blitze,e
1066. Pit,Die Grube,Die Gruben,n
1067. Colonel,Der Oberst,Die Obersten,en
1068. Dock,Der Hafen,Die Häfen,":, "
1069. Creek,Der Bach,Die Bäche,":, e"
1070. Advice,Der Rat,Die Ratschläge,schläge
1071. Tourist,Der Tourist,Die Touristen,en
1072. Grief,Die Trauer,-,"-, "
1073. Defense,Die Verteidigung,-,"-, "
1074. Bite,Der Biss,Die Bisse,e
1075. Museum,Das Museum,Die Museen,"e, n, "
1076. Favor,Der Gefallen,Die Gefallen,
1077. Supper,Das Abendessen,-,"-, "
1078. Comfort,Der Komfort,-,"-, "
1079. Dean,Der Dekan,-,"-, "
1080. Value,Der Wert,Die Werte,e
1081. March,Der Marsch,Die Märsche,":, e"
1082. Estate,Das Anwesen,Die Anwesen,
1083. Poet,Der Dichter,Die Dichter,
1084. Palace,Der Palast,Die Paläste,":, e"
1085. Soup,Die Suppe,Die Suppen,n
1086. Nation,Die Nation,Die Nationen,en
1087. Jar,Das Glas,Die Gläser,":, er"
1088. Standing,Der Stand,-,"-, "
1089. Sack,Der Sack,Die Säcke,":, e"
1090. Demon,Der Dämon,Die Dämonen,en
1091. Conference,Die Konferenz,Die Konferenzen,en
1092. Juice,Der Saft,Die Säfte,":, e"
1093. Responsibility,Die Verantwortung,-,"-, "
1094. Brush,Die Bürste,Die Bürsten,n
1095. Route,Die Route,Die Routen,n
1096. Cheese,Der Käse,Die Käse,
1097. Hood,Die Motorhaube,Die Motorhauben,n
1098. Duck,Die Ente,Die Enten,n
1099. Saint,Der Heilige,Die Heiligen,n
1100. Pass,Der Pass,Die Pässe,":, e"
1101. Target,Das Ziel,Die Ziele,e
1102. Orange,Die Orange,Die Orangen,n
1103. Culture,Die Kultur,Die Kulturen,en
1104. Tour,Die Tour,Die Touren,en
1105. Commander,Der Kommandant,Die Kommandanten,en
1106. Hook,Der Haken,Die Haken,
1107. Mist,Der Nebel,-,"-, "
1108. Training,Das Training,Die Trainings,s
1109. Search,Die Suche,Die Suchen,n
1110. Coin,Die Münze,Die Münzen,n
1111. Miracle,Das Wunder,Die Wunder,
1112. Advantage,Der Vorteil,Die Vorteile,e
1113. Exchange,Der Austausch,Die Austausche,e
1114. Fiction,Die Fiktion,-,"-, "
1115. Pond,Der Teich,Die Teiche,e
1116. Assistant,Der Assistent,Die Assistenten,en
1117. Design,Das Design,Die Designs,s
1118. Fishing,Das Angeln,-,"-, "
1119. Slope,Der Hang,Die Hänge,":, e"
1120. Earl,Der Graf,Die Grafen,en
1121. Comment,Der Kommentar,Die Kommentare,e
1122. Waiter,Der Kellner,Die Kellner,
1123. Grocery,Der Lebensmittel,Die Lebensmittel,
1124. Ladder,Die Leiter,Die Leitern,n
1125. Curve,Die Kurve,Die Kurven,n
1126. Volume,Das Volumen,Die Volumina,"i, a"
1127. Risk,Das Risiko,Die Risiken,"e, n"
1128. Nightmare,Der Albtraum,Die Albträume,":, e"
1129. Existence,Die Existenz,-,"-, "
1130. Trace,Die Spur,Die Spuren,en
1131. Disease,Die Krankheit,Die Krankheiten,en
1132. Support,Die Unterstützung,-,"-, "
1133. Witness,Der Zeuge,Die Zeugen,n
1134. Stock,Der Bestand,Die Bestände,":, e"
1135. Device,Das Gerät,Die Geräte,e
1136. Landscape,Die Landschaft,Die Landschaften,en
1137. Holiday,Der Feiertag,Die Feiertage,e
1138. Ace,Das Ass,Die Asse,e
1139. Piano,Das Klavier,Die Klaviere,e
1140. Gut,Der Darm,-,"-, "
1141. Talent,Das Talent,Die Talente,e
1142. Imagination,Die Fantasie,-,"-, "
1143. Black,Das Schwarz,-,"-, "
1144. Reed,Der Rohrkolben,Die Rohrkolben,
1145. Lid,Der Deckel,Die Deckel,
1146. Hint,Der Hinweis,Die Hinweise,e
1147. Walker,Der Spaziergänger,Die Spaziergänger,
1148. Chill,Das Schaudern,-,"-, "
1149. Trial,Der Prozess,Die Prozesse,e
1150. Interview,Das Interview,Die Interviews,s
1151. Approach,Der Ansatz,Die Ansätze,":, e"
1152. Scar,Die Narbe,Die Narben,n
1153. Fashion,Die Mode,-,"-, "
1154. Channel,Der Kanal,Die Kanäle,":, e"
1155. Footstep,Der Fußabdruck,Die Fußabdrücke,":, e"
1156. Pickup,Der Pick-up,Die Pick-ups,s
1157. Hawk,Der Habicht,Die Habichte,e
1158. Trailer,Der Anhänger,Die Anhänger,
1159. Statue,Die Statue,Die Statuen,n
1160. Pill,Die Pille,Die Pillen,n
1161. Bug,Der Käfer,Die Käfer,
1162. Bucket,Der Eimer,Die Eimer,
1163. Vacation,Der Urlaub,Die Urlaube,e
1164. Species,Die Art,Die Arten,en
1165. Column,Die Säule,Die Säulen,n
1166. Damage,Der Schaden,-,"-, "
1167. Instrument,Das Instrument,Die Instrumente,e
1168. Port,Der Hafen,Die Häfen,":, "
1169. Layer,Die Schicht,Die Schichten,en
1170. Strip,Der Streifen,Die Streifen,
1171. Garbage,Der Müll,-,"-, "
1172. Rib,Die Rippe,Die Rippen,n
1173. Notebook,Das Notizbuch,Die Notizbücher,":, er"
1174. Corn,Der Mais,-,"-, "
1175. Offer,Das Angebot,Die Angebote,e
1176. Drawing,Die Zeichnung,Die Zeichnungen,en
1177. Statement,Die Aussage,Die Aussagen,n
1178. Intelligence,Die Intelligenz,-,"-, "
1179. Excuse,Die Entschuldigung,Die Entschuldigungen,en
1180. Landing,Die Landung,Die Landungen,en
1181. Copyright,Das Urheberrecht,-,"-, "
1182. Rod,Die Stange,Die Stangen,n
1183. Fantasy,Die Fantasie,Die Fantasien,n
1184. Curiosity,Die Neugierde,-,"-, "
1185. Gown,Das Gewand,Die Gewänder,":, er"
1186. Border,Die Grenze,Die Grenzen,n
1187. Poetry,Die Poesie,-,"-, "
1188. Firm,Die Firma,Die Firmen,"e, n"
1189. Rise,Der Anstieg,Die Anstiege,e
1190. Handful,Die Handvoll,Die Handvoll,
1191. China,Das Porzellan,-,"-, "
1192. French,Der Franzose,Die Franzosen,n
1193. Mean,Der Durchschnitt,Die Durchschnitte,e
